                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8711,                 5.5631,                 4.1192,                0.06808,                0.07881,                 0.0397,                0.01467,                 3.1632,                 4.2869,                 3.5548,              0.0033188,              0.0033188,              0.0033188
                      1,                 2.5864,                 3.0156,                 2.6353,                0.41131,                0.47249,                0.40309,                 0.1725,                 2.0362,                 2.4342,                  2.154,              0.0066455,              0.0066455,              0.0066455
                      2,                 1.9812,                 1.9219,                 1.9204,                0.56305,                0.37367,                 0.4479,                 0.2159,                 1.8754,                 1.9664,                 1.9157,              0.0099657,              0.0099657,              0.0099657
                      3,                  1.722,                 1.4912,                 1.6428,                0.57624,                0.45639,                0.52782,                 0.2869,                  1.653,                 2.8385,                 1.6922,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.5378,                 1.2469,                 1.4907,                0.85482,                0.60862,                0.76076,                0.43874,                 1.4443,                 1.2103,                 1.4897,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.4293,                 1.0955,                 1.4139,                0.87564,                0.72432,                0.82247,                0.48535,                 1.3144,                 1.0562,                 1.3883,              0.0099604,              0.0099604,              0.0099604
                      6,                  1.347,                 1.0053,                 1.3545,                 0.9007,                0.77034,                0.86297,                0.56224,                 1.1907,                0.92731,                 1.2987,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.2816,                0.91214,                 1.2876,                0.88315,                0.74016,                0.84555,                0.56051,                 1.1677,                0.95685,                 1.2804,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.2479,                0.86782,                 1.2729,                0.84424,                0.78519,                0.86811,                0.58205,                  1.147,                0.84869,                 1.2752,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.2143,                 0.8287,                 1.2551,                0.92082,                0.79162,                0.88645,                0.59895,                   1.11,                0.85278,                 1.2079,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.1546,                0.79182,                 1.2241,                0.83233,                0.84896,                0.88897,                0.59285,                 1.1067,                0.80369,                 1.2156,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.1406,                0.76621,                  1.207,                0.91729,                0.81971,                0.88999,                0.62769,                 1.0654,                0.75384,                 1.1889,               0.009901,               0.009901,               0.009901
                     12,                 1.1005,                0.73394,                 1.1786,                0.86512,                0.84319,                0.90094,                0.60686,                 1.0697,                0.77933,                 1.1777,              0.0098911,              0.0098911,              0.0098911
                     13,                 1.1037,                0.71804,                 1.1816,                0.92332,                0.83814,                0.91747,                0.61911,                 1.0269,                0.67294,                 1.1615,              0.0098812,              0.0098812,              0.0098812
                     14,                 1.0864,                0.70102,                 1.1663,                0.88404,                0.85637,                0.91804,                0.64534,                 1.0194,                0.66931,                 1.1505,              0.0098713,              0.0098713,              0.0098713
                     15,                 1.0634,                0.68155,                 1.1487,                0.90085,                 0.8219,                0.89525,                 0.6182,                 1.0771,                0.73467,                 1.2125,              0.0098614,              0.0098614,              0.0098614
                     16,                 1.0448,                0.67581,                 1.1502,                0.91748,                 0.8658,                0.93083,                0.66145,                0.97436,                0.65442,                 1.1335,              0.0098515,              0.0098515,              0.0098515
                     17,                 1.0185,                0.65368,                 1.1291,                0.86571,                0.82746,                0.88288,                0.63786,                 1.0297,                0.73106,                 1.1797,              0.0098416,              0.0098416,              0.0098416
                     18,                  1.019,                0.64889,                 1.1331,                0.91922,                0.83699,                0.90822,                0.63928,                  1.036,                0.67909,                 1.1693,              0.0098317,              0.0098317,              0.0098317
                     19,                 0.9934,                0.62987,                 1.1192,                0.93326,                0.83642,                0.91247,                0.62871,                 1.0294,                0.64342,                   1.16,              0.0098218,              0.0098218,              0.0098218
                     20,                0.98528,                0.61246,                 1.1117,                0.94444,                 0.8817,                0.92826,                0.66444,                0.95464,                0.62086,                 1.1139,              0.0098119,              0.0098119,              0.0098119
                     21,                0.97619,                0.60679,                 1.1094,                0.92526,                0.82627,                0.91079,                0.66534,                0.99312,                0.62299,                 1.1473,               0.009802,               0.009802,               0.009802
                     22,                 0.9727,                0.60649,                 1.1031,                0.93571,                0.82898,                0.92719,                0.66292,                0.94659,                0.61826,                 1.1245,              0.0097921,              0.0097921,              0.0097921
                     23,                0.96498,                 0.6013,                  1.094,                   0.94,                0.83446,                0.91828,                0.68001,                0.92511,                 0.5928,                 1.0826,              0.0097822,              0.0097822,              0.0097822
                     24,                0.95223,                0.58748,                 1.0905,                0.91595,                0.87347,                0.93389,                0.68657,                0.91801,                0.55913,                 1.0859,              0.0097723,              0.0097723,              0.0097723
                     25,                0.94878,                0.58149,                 1.0833,                0.95978,                0.83528,                0.92171,                0.66854,                0.92278,                0.58727,                 1.0999,              0.0097624,              0.0097624,              0.0097624
                     26,                0.95394,                0.58218,                 1.0908,                0.89696,                  0.881,                0.93044,                0.67641,                0.92772,                0.59736,                  1.101,              0.0097525,              0.0097525,              0.0097525
                     27,                0.92977,                0.56804,                  1.082,                0.93641,                0.89105,                0.93637,                0.69125,                 0.8819,                0.58118,                 1.0851,              0.0097426,              0.0097426,              0.0097426
                     28,                0.91896,                0.55766,                 1.0751,                0.92928,                0.88021,                0.93734,                0.68775,                0.90866,                0.55852,                 1.0918,              0.0097327,              0.0097327,              0.0097327
                     29,                0.91905,                0.55998,                 1.0637,                0.87461,                0.87929,                0.91674,                0.67069,                0.91163,                0.58224,                  1.098,              0.0097228,              0.0097228,              0.0097228
                     30,                0.90525,                0.55431,                   1.07,                0.94756,                0.87545,                 0.9517,                0.70446,                0.87756,                0.52058,                 1.0841,              0.0097129,              0.0097129,              0.0097129
                     31,                0.90232,                0.54233,                 1.0644,                 0.9272,                0.90443,                0.94573,                0.68546,                0.94013,                0.54885,                 1.1164,               0.009703,               0.009703,               0.009703
                     32,                0.88623,                0.54198,                 1.0538,                0.92129,                0.91468,                 0.9517,                0.70367,                0.88419,                 0.5179,                 1.0864,              0.0096931,              0.0096931,              0.0096931
                     33,                0.89699,                0.54233,                 1.0637,                 0.9198,                0.89925,                0.93299,                 0.6968,                0.88877,                 0.5393,                  1.081,              0.0096832,              0.0096832,              0.0096832
                     34,                0.88913,                0.53928,                 1.0607,                0.91752,                0.90698,                0.93922,                0.70598,                0.88325,                0.52924,                 1.0876,              0.0096733,              0.0096733,              0.0096733
                     35,                0.87335,                0.52134,                 1.0488,                0.94844,                0.87915,                0.92957,                0.68987,                0.88213,                0.55118,                 1.0754,              0.0096634,              0.0096634,              0.0096634
                     36,                0.87997,                0.53392,                 1.0436,                0.94947,                0.88352,                0.93507,                0.70408,                0.87353,                0.52239,                 1.0667,              0.0096535,              0.0096535,              0.0096535
                     37,                0.87205,                0.51913,                 1.0457,                0.96298,                0.89052,                0.94987,                0.70334,                 0.8678,                0.53007,                 1.0794,              0.0096436,              0.0096436,              0.0096436
                     38,                0.86184,                0.51484,                 1.0396,                0.92992,                0.88603,                0.93407,                0.69859,                0.87634,                0.52666,                 1.0777,              0.0096337,              0.0096337,              0.0096337
                     39,                0.85533,                0.50865,                 1.0355,                0.93907,                0.88307,                0.93065,                0.69303,                0.84871,                0.53828,                 1.0615,              0.0096238,              0.0096238,              0.0096238
                     40,                0.84956,                0.50532,                 1.0331,                0.95514,                0.91627,                0.95055,                0.70036,                0.86342,                0.51737,                  1.074,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.8465,                0.50292,                 1.0279,                0.93371,                0.88417,                0.94738,                0.71007,                0.87394,                0.51875,                 1.0699,               0.009604,               0.009604,               0.009604
                     42,                0.85197,                0.50725,                 1.0296,                0.94952,                0.91505,                0.95948,                0.72433,                0.86087,                0.47988,                 1.0554,              0.0095941,              0.0095941,              0.0095941
                     43,                0.84513,                0.49557,                 1.0337,                0.95856,                0.90024,                0.95369,                0.70739,                0.84773,                0.50042,                 1.0512,              0.0095842,              0.0095842,              0.0095842
                     44,                0.83742,                0.49864,                 1.0215,                0.93604,                 0.8974,                0.94802,                0.70658,                0.86261,                0.50206,                 1.0697,              0.0095743,              0.0095743,              0.0095743
                     45,                0.83028,                0.49673,                 1.0224,                0.96216,                0.89395,                0.95832,                0.71222,                0.84416,                0.47745,                 1.0584,              0.0095644,              0.0095644,              0.0095644
                     46,                0.82921,                0.48914,                 1.0231,                  0.941,                0.91069,                0.95514,                0.72795,                 0.8043,                0.47534,                 1.0372,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.8142,                0.48173,                 1.0183,                 0.9657,                0.89991,                0.96041,                0.72068,                0.82299,                0.46882,                 1.0371,              0.0095446,              0.0095446,              0.0095446
                     48,                0.80494,                0.47698,                  1.012,                 0.9616,                0.89089,                0.95159,                0.70888,                0.85933,                0.49408,                 1.0686,              0.0095347,              0.0095347,              0.0095347
                     49,                0.81898,                0.48237,                 1.0163,                0.96421,                0.88439,                0.95528,                0.72385,                0.79806,                0.48797,                 1.0245,              0.0095248,              0.0095248,              0.0095248
                     50,                0.81785,                0.47588,                 1.0179,                 0.9364,                0.91127,                0.94367,                0.71445,                 0.8351,                0.48628,                 1.0485,              0.0095149,              0.0095149,              0.0095149
                     51,                0.81306,                0.47489,                 1.0135,                0.91425,                0.92588,                0.94638,                0.70858,                0.85523,                0.48371,                 1.0685,               0.009505,               0.009505,               0.009505
                     52,                0.80008,                0.46713,                 1.0062,                0.93099,                0.90892,                0.95424,                0.71894,                 0.8536,                0.47274,                 1.0568,              0.0094951,              0.0094951,              0.0094951
                     53,                0.80549,                0.46967,                 1.0103,                0.93415,                 0.8941,                0.94826,                0.71523,                0.81572,                0.46247,                 1.0457,              0.0094852,              0.0094852,              0.0094852
                     54,                 0.7851,                0.46718,                 0.9978,                0.95066,                 0.9005,                0.96149,                0.72469,                 0.8342,                0.46701,                 1.0457,              0.0094753,              0.0094753,              0.0094753
