                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8567,                 5.3377,                 4.1073,                0.06527,                0.07538,                0.02883,                0.00919,                 3.1924,                 4.7203,                 3.6492,              0.0033188,              0.0033188,              0.0033188
                      1,                 2.5477,                  2.776,                 2.6663,                0.52547,                0.47084,                0.46127,                0.20807,                 1.9852,                 1.9112,                 2.2284,              0.0066455,              0.0066455,              0.0066455
                      2,                 1.9272,                 1.7617,                  1.906,                0.72758,                0.56004,                0.63636,                0.33196,                  1.666,                 1.6221,                 1.7896,              0.0099657,              0.0099657,              0.0099657
                      3,                 1.6359,                 1.3254,                 1.5952,                0.64185,                0.44217,                0.49967,                0.27821,                  1.667,                 1.6019,                 1.7361,              0.0099703,              0.0099703,              0.0099703
                      4,                 1.4332,                 1.0916,                   1.43,                0.84683,                 0.7111,                 0.7952,                0.52035,                 1.2423,                 1.0326,                 1.3707,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.3121,                 0.9552,                  1.355,                0.90494,                0.75393,                0.84619,                0.54895,                 1.2038,                 1.0742,                 1.3231,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.2428,                0.86199,                 1.2966,                0.85389,                0.85079,                0.89449,                0.57917,                 1.1678,                0.79727,                 1.2849,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.1854,                0.79119,                 1.2354,                0.92364,                0.81869,                0.88548,                0.59311,                 1.1445,                0.78864,                 1.2581,              0.0099406,              0.0099406,              0.0099406
                      8,                   1.15,                 0.7646,                 1.2256,                0.90021,                0.82755,                0.88685,                0.58825,                 1.1079,                0.75995,                 1.2516,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.1095,                0.72135,                 1.2007,                0.88182,                0.83699,                0.90418,                0.63881,                 1.0089,                0.76006,                 1.1615,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0679,                0.69038,                 1.1755,                0.94456,                0.82735,                0.91252,                0.60569,                 1.0853,                0.69216,                 1.2118,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0417,                0.66574,                 1.1575,                0.93996,                0.85218,                0.93903,                0.66545,                 1.0121,                0.65186,                 1.1757,               0.009901,               0.009901,               0.009901
                     12,                 1.0039,                0.63177,                 1.1292,                0.92738,                 0.8691,                0.92973,                0.65223,                 1.0281,                0.65501,                 1.1542,              0.0098911,              0.0098911,              0.0098911
                     13,                0.99842,                0.62751,                  1.128,                 0.9164,                0.86459,                0.94357,                0.67331,                0.96032,                0.60745,                 1.1281,              0.0098812,              0.0098812,              0.0098812
                     14,                0.98561,                0.60822,                 1.1157,                0.89232,                0.90542,                0.93457,                0.67106,                0.99073,                0.61317,                 1.1398,              0.0098713,              0.0098713,              0.0098713
                     15,                0.95901,                0.59656,                 1.0987,                0.92536,                0.85958,                0.90286,                0.64773,                0.99872,                0.61911,                 1.1487,              0.0098614,              0.0098614,              0.0098614
                     16,                0.94441,                0.58414,                 1.1015,                0.96539,                0.85148,                0.94061,                0.68051,                0.97268,                0.60424,                 1.1213,              0.0098515,              0.0098515,              0.0098515
                     17,                0.92686,                0.56596,                 1.0852,                 0.8628,                0.81741,                0.87185,                0.64236,                0.98496,                0.63733,                 1.1413,              0.0098416,              0.0098416,              0.0098416
                     18,                0.92307,                0.56776,                  1.087,                0.91254,                0.87598,                0.92036,                0.67031,                0.97183,                0.60346,                 1.1275,              0.0098317,              0.0098317,              0.0098317
                     19,                0.90989,                  0.553,                 1.0837,                0.94633,                0.85388,                0.92127,                0.67343,                0.97063,                 0.5643,                 1.1216,              0.0098218,              0.0098218,              0.0098218
                     20,                0.88647,                0.53887,                 1.0686,                0.93727,                0.88752,                0.93822,                0.69512,                0.93196,                0.56216,                 1.1031,              0.0098119,              0.0098119,              0.0098119
                     21,                0.87762,                0.52907,                 1.0643,                0.95374,                0.86837,                0.94836,                0.68242,                0.93958,                 0.5738,                 1.1137,               0.009802,               0.009802,               0.009802
                     22,                0.87835,                0.53177,                 1.0554,                0.91821,                0.91149,                0.94405,                0.70432,                0.89411,                0.53702,                 1.0813,              0.0097921,              0.0097921,              0.0097921
                     23,                0.86954,                 0.5211,                 1.0526,                0.95327,                0.86249,                 0.9256,                0.69902,                 0.8902,                0.53756,                 1.0705,              0.0097822,              0.0097822,              0.0097822
                     24,                0.86236,                 0.5142,                   1.05,                0.93562,                0.89171,                0.94802,                0.71465,                0.90694,                0.53108,                   1.08,              0.0097723,              0.0097723,              0.0097723
                     25,                0.85203,                0.50994,                 1.0407,                0.94564,                0.87466,                0.94847,                 0.7233,                0.89438,                0.54134,                 1.0844,              0.0097624,              0.0097624,              0.0097624
                     26,                0.85745,                0.50519,                 1.0449,                0.94762,                0.84953,                0.93992,                0.71249,                0.87039,                0.54822,                 1.0794,              0.0097525,              0.0097525,              0.0097525
                     27,                0.83309,                0.49535,                 1.0377,                0.95202,                0.91922,                0.96064,                0.70984,                0.87086,                0.51647,                 1.0647,              0.0097426,              0.0097426,              0.0097426
                     28,                0.82385,                0.48832,                 1.0277,                0.93816,                0.90679,                0.94543,                0.72997,                0.84284,                0.51457,                 1.0681,              0.0097327,              0.0097327,              0.0097327
                     29,                0.81946,                0.48351,                 1.0186,                0.96423,                0.89237,                0.94167,                0.70831,                0.84649,                0.49257,                  1.058,              0.0097228,              0.0097228,              0.0097228
                     30,                0.81288,                0.48435,                 1.0259,                0.94858,                0.88891,                0.95668,                0.72775,                0.85144,                0.49925,                  1.076,              0.0097129,              0.0097129,              0.0097129
                     31,                0.80956,                0.47723,                 1.0202,                0.96146,                0.89252,                0.96024,                0.72192,                0.88187,                0.49308,                 1.0894,               0.009703,               0.009703,               0.009703
                     32,                0.79749,                0.47607,                 1.0139,                0.94771,                0.89925,                0.95984,                0.72512,                0.81956,                0.48365,                 1.0466,              0.0096931,              0.0096931,              0.0096931
                     33,                0.79149,                0.46678,                 1.0159,                0.88918,                0.92416,                0.95083,                0.71476,                0.87413,                0.49685,                 1.0617,              0.0096832,              0.0096832,              0.0096832
                     34,                0.79275,                0.47336,                  1.018,                0.94323,                0.92133,                0.96643,                0.73009,                0.85148,                 0.4821,                 1.0652,              0.0096733,              0.0096733,              0.0096733
                     35,                0.77986,                0.45708,                 1.0057,                0.95731,                0.90166,                 0.9576,                0.72401,                0.87973,                0.48681,                 1.0696,              0.0096634,              0.0096634,              0.0096634
                     36,                0.78327,                0.46206,                 1.0028,                0.95404,                0.90811,                0.96252,                0.73358,                0.86353,                0.48279,                 1.0566,              0.0096535,              0.0096535,              0.0096535
                     37,                0.77932,                0.45337,                 1.0013,                   0.95,                0.85523,                0.95056,                0.73193,                0.82411,                0.47209,                  1.039,              0.0096436,              0.0096436,              0.0096436
                     38,                0.76904,                0.44729,                0.99816,                0.96355,                 0.9163,                0.96424,                0.73382,                0.82567,                 0.4627,                 1.0302,              0.0096337,              0.0096337,              0.0096337
                     39,                0.75695,                0.43838,                0.99187,                0.90239,                0.90537,                0.93554,                0.70587,                0.86562,                0.49619,                 1.0594,              0.0096238,              0.0096238,              0.0096238
                     40,                0.75958,                0.43864,                0.99536,                0.93757,                0.89641,                0.94499,                0.73136,                0.84143,                0.49284,                 1.0469,              0.0096139,              0.0096139,              0.0096139
